Year,Type,Country,Area,Activity,Fatal,Species ,,
2017,Sea Disaster,LIBYA,,2 boats capsized,Y,Some drowned but other may have been killed by blue sharks,,
2017,Unprovoked,USA,California,Spearfishing,N,"White shark, 4.6 m",,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,,,Surfing,N,,,
2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark,,
2017,Unprovoked,CUBA,Holquin Province,Night bathing,Y,Tiger shark,,
2017,Unprovoked,USA,Hawaii,Surfing,N,,,
2017,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,Cookiecutter shark,,
2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Wobbegong shark, 1 m",,
2017,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,,,
2017,Unprovoked,MAURITIUS,Pamplemousses,Swimming,N,,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,USA,Florida,Swimming,N,,,
2017,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,N,"White shark, 4.5 m",,
2017,Unprovoked,NEW ZEALAND,North Island,Kayaking,N,2 m shark,,
2017,Unprovoked,USA,Florida,Swimming,N,"Spinner shark, 4 to 5 feet",,
2017,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 8 to 10 feet",,
2017,Unprovoked,USA,Hawaii,Snorkeling,N,8' shark,,
2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,,Death may have been due to drowning,,
2017,Unprovoked,USA,Florida,Surfing,N,5' shark,,
2019,Unprovoked,USA,Rhode Island,Surfing,N,Sandtiger shark,,
2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,"White shark, 3.5 m",,
2017,Invalid,USA,New York,Surfing,,Questionable,,
2017,Unprovoked,USA,Florida,Surfing,N,4' to 5' shark,,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Unprovoked,SPAIN,Canary Islands,Body surfing,N,"Porbeagle, 1.5 m",,
2017,Unprovoked,USA,Florida,Surfing,N,,,
2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,,,,
2017,,SAMOA,Upolu Island,Fishing,N,,,
2017,Boating,AUSTRALIA,Westerm Australia,Fishing,N,"White shark, 3.5m",,
2017,Unprovoked,USA,Florida,Surfing,N,5' to 6' shark,,
2017,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,N,,,
2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3 to 3.5m",,
